Tarih;Eth Miktarı;Eth Farkı;TL Farkı;Hesaptaki Miktar;Açıklamalar;;;;
26.08.2021 03:00 *;0.00000 Eth;;;0.00TL;Bu tarihte 0.05Eth (1353TL) hesaba yattı.;290MH;16.628TL;;
27.08.2021 00:00 *;0.00593 Eth;0.00593;155.42TL;155.42TL;;290MH;;;
28.08.2021 00:00 *;0.01295 Eth;0.00702;198.80TL;354.22TL;;290MH;;;
29.08.2021 00:00 *;0.01883 Eth;0.00588;157.75TL;511.97TL;;290MH;;;
30.08.2021 00:00 *;0.02669 Eth;0.00786;211.46TL;723.43TL;;290MH;;;
31.08.2021 00:00 *;0.03350 Eth;0.00681;214.64TL;938.07TL;;290MH;;;
01.09.2021 00:00 *;0.04021 Eth;0.00671;201.20TL;1139.27TL;;290MH;;;
02.09.2021 00:00 *;0.04745 Eth;0.00724;338.65TL;1477.92TL;;290MH;;;
02.09.2021 12:52 *;0.00000 Eth;;;0.00TL;Bu tarihte 0.05Eth (1508TL) hesaba yattı.;290MH;18.136TL;;
03.09.2021 00:00 *;0.00311 Eth;0.00311;98.16TL;98.16TL;;290MH;;;
04.09.2021 00:00 *;0.00987 Eth;0.00676;223.56TL;321.72TL;;290MH;;;
05.09.2021 00:00 *;0.01648 Eth;0.00661;211.67TL;533.39TL;;290MH;;;
06.09.2021 00:00 *;0.02256 Eth;0.00608;211.44TL;744.83TL;;290MH;;;
07.09.2021 00:00 *;0.02848 Eth;0.00592;185.69TL;930.52TL;;290MH;;;
08.09.2021 00:00 *;0.03754 Eth;0.00906;143.75TL;1074.27TL;;290MH;;;
09.09.2021 00:00 *;0.04405 Eth;0.00651;228.99TL;1303.26TL;;290MH;;;
09.09.2021 21:00 *;0.00000 Eth;;;0.00TL;Bu tarihte 0.05Eth (1516.57TL) hesaba yattı.;290MH;19.652TL;;
10.09.2021 00:00 *;0.00079 Eth;0.00079;23.03TL;23.03TL;;290MH;;;
11.09.2021 00:00 *;0.00815 Eth;0.00736;197.43TL;220.46TL;;290MH;;;
12.09.2021 00:00 *;0.01336 Eth;0.00521;154.26TL;374.72TL;;290MH;;;
13.09.2021 00:00 *;0.01934 Eth;0.00598;173.39TL;548.11TL;;290MH;;;
14.09.2021 00:00 *;0.02544 Eth;0.00610;157.24TL;705.35TL;;290MH;;;
15.09.2021 00:00 *;0.03193 Eth;0.00649;208.04TL;913.39TL;;290MH;;;
16.09.2021 00:00 *;0.03784 Eth;0.00591;222.81TL;1136.20TL;;290MH;;;
17.09.2021 00:00 *;0.04262 Eth;0.00478;148.41TL;1284.61TL;;290MH;;;
18.09.2021 00:00 *;0.04832 Eth;0.00570;126.27TL;1410.88TL;;290MH;;;
18.09.2021 07.20 *;0.00000 Eth;;;0.00TL;Bu tarihte 0.05Eth (1480TL) hesaba yattı.;290MH;21.132TL;;
19.09.2021 00:00 *;0.00413 Eth;0.00413;121.64TL;121.64TL;;290MH;;;
20.09.2021 00:00 *;0.00993 Eth;0.00580;168.01TL;289.65TL;;290MH;;;
21.09.2021 00:00 *;0.01599 Eth;0.00606;131.04TL;420.69TL;;290MH;;;
22.09.2021 00:00 *;0.02210 Eth;0.00611;119.74TL;540.43TL;;290MH;;;
23.09.2021 00:00 *;0.02774 Eth;0.00564;190.88TL;731.31TL;;290MH;;;
24.09.2021 00:00 *;0.03489 Eth;0.00715;228.68TL;959.99TL;;290MH;;;
25.09.2021 00:00 *;0.04043 Eth;0.00554;106.24TL;1066.23TL;;290MH;;;
26.09.2021 00:00 *;0.04598 Eth;0.00555;129.12TL;1195.35TL;;290MH;;;
26.09.2021 16:00 *;0.00000 Eth;;;0.00TL;Bu tarihte 0.05Eh (1308TL) hesaba yattı.;290MH;22.440TL;;
27.09.2021 00:00 *;0.00197 Eth;0.0197;54.10TL;54.10TL;;290MH;;;
28.09.2021 00:00 *;0.00747 Eth;0.00550;142.35TL;196.45TL;;290MH;;;
29.09.2021 00:00 *;0.01367 Eth;0.00620;150.85TL;347.30TL;;290MH;;;
30.09.2021 00:00 *;0.01941 Eth;0.00574;143.23TL;490.53TL;;290MH;;;
01.10.2021 00:00 *;0.02528 Eth;0.00587;187.10TL;677.63TL;;290MH;;;
02.10.2021 00:00 *;0.03100 Eth;0.00572;234.56TL;912.19TL;;290MH;;;
03.10.2021 00:00 *;0.03598 Eth;0.00498;184.36TL;1096.55TL;;290MH;;;
04.10.2021 00:00 *;0.04092 Eth;0.00494;153.89TL;1250.44TL;;290MH;;;
05.10.2021 00:00 *;0.04669 Eth;0.00577;152.99TL;1403.43TL;;290MH;;;
06.10.2021 00:00 *;0.05279 Eth;0.00610;249.36TL;1652,79TL;;290MH;;;
07.10.2021 00:00 *;0.05848 Eth;0.00569;206.44TL;1859.23TL;;290MH;;;
08.10.2021 00:00 *;0.06384 Eth;0.00536;197.22TL;2056.45TL;;290MH;;;
08.10.2021 00:00 *;0.00000 Eth;;;0.00TL;Bu tarihte 0.067 (2203,78TL) hesaba yattı.;290MH;24.643TL;;
09.10.2021 00:00 *;0.00191 Eth;0.00191;61.48TL;61.48TL;;290MH;;;
10.10.2021 00:00 *;0.00736 Eth;0.00545;175.47TL;236.95TL;;290MH;;;
11.10.2021 00:00 *;0.01271 Eth;0.00535;157.56TL;394.51TL;;290MH;;;
12.10.2021 00:00 *;0.01832 Eth;0.00561;185.10TL;579.61TL;;290MH;;;
13.10.2021 00:00 *;0.02385 Eth;0.00553;172.71TL;752.32TL;;290MH;;;
14.10.2021 00:00 *;0.02965 Eth;0.00580;213.05TL;965,37TL;;290MH;;;
15.10.2021 00:00 *;0.03535 Eth;0.00570;260.85TL;1226,22TL;;290MH;;;
16.10.2021 00:00 *;0.04101 Eth;0.00566;255.66TL;1481.88TL;;290MH;;;
17.10.2021 00:00 *;0.04740 Eth;0.00639;205.90TL;1687.78TL;;290MH;;;
17.10.2021 12:00 *;0.00000 Eth;;;0.00TL;Bu tarihte 0.05Eth (1889.06TL) hesaba yattı.;290MH;26.532TL;;
18.10.2021 00:00 *;0.00272 Eth;0.00272;93.61TL;93.61TL;;290MH;;;
19.10.2021 00:00 *;0.01000 Eth;0.00728;255.43TL;349.04TL;;290MH;;;
20.10.2021 00:00 *;0.01524 Eth;0.00524;192.31TL;541.35TL;;290MH;;;
21.10.2021 00:00 *;0.02102 Eth;0.00578;258.15TL;799.50TL;;290MH;;;
22.10.2021 00:00 *;0.02640 Eth;0.00538;234.45TL;1033.96TL;;290MH;;;
23.10.2021 00:00 *;0.03165 Eth;0.00525;177.05TL;1211.01TL;;290MH;;;
24.10.2021 00:00 *;0.03695 Eth;0.00530;238.58TL;1449.59TL;;290MH;;;
25.10.2021 00:00 *;0.04196 Eth;0.00501;209.41TL;1659.00TL;;290MH;;;
26.10.2021 00:00 *;0.04763 Eth;0.00567;265.48TL;1924.48TL;;290MH;;;
26.10.2021 11:00 *;0.00000 Eth;;;0.00TL;Bu tarihte 0.05Eth (1888.68TL) hesaba yattı. ;290MH;28.420TL;;
27.10.2021 00:00 *;0.00283 Eth;0.00283;115.42TL;115.42TL;;290MH;;;
28.10.2021 00:00 *;0.00862 Eth;0.00579;211.44TL;326,86TL;;290MH;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
